symbol,timeframe,start_ts,decision_ts,exit_ts,entry_price,exit_price,sig_trend_direction,sig_recent_momentum,sig_volume_relative,sig_price_vs_ma25,sig_ma_cross_7_25,sig_rsi_zone,sig_support_resistance,bias_score,bias_direction,bias_strength,outcome_direction,outcome_pct,outcome_whipsaw,edu_score,coherence,rank_in_tf,diversity_tag
XRPUSDT,1h,2025-01-07 20:00:00,2025-01-13 22:00:00,2025-01-14 10:00:00,2.53,2.5901,sideways,accelerating_up,falling,above,fresh_bullish_cross,neutral_high,mid_range,6,bullish,strong,up,2.38,False,90,confirmed,1,confirmed_bullish
DOGEUSDT,1d,2025-06-08,2025-11-01,2025-11-13,0.18726,0.16373999,bearish_strong,mixed,falling,below,ma7_below_stable,neutral_low,mid_range,-5,bearish,strong,down,-12.56,False,90,confirmed,8,confirmed_bearish
DOGEUSDT,1d,2025-07-02,2025-11-25,2025-12-07,0.15295,0.13862,bearish_strong,mixed,normal,below,ma7_below_stable,neutral_low,mid_range,-5,bearish,strong,down,-9.37,False,90,confirmed,6,confirmed_bearish
DOGEUSDT,1d,2025-07-26,2025-12-19,2025-12-31,0.13214999,0.11741,bearish_strong,mixed,rising,below,ma7_below_stable,neutral_low,mid_range,-5,bearish,strong,down,-11.15,False,90,confirmed,5,confirmed_bearish
DOGEUSDT,1d,2023-04-08,2023-09-01,2023-09-13,0.063840002,0.061209999,bearish_strong,mixed,normal,below,ma7_below_stable,neutral_low,mid_range,-5,bearish,strong,down,-4.12,False,90,confirmed,4,confirmed_bearish
XRPUSDT,1d,2020-04-11,2020-09-04,2020-09-16,0.25369999,0.24680001,bearish_strong,mixed,normal,below,ma7_below_stable,neutral_low,mid_range,-5,bearish,strong,down,-2.72,False,90,confirmed,3,confirmed_bearish
BTCUSDT,1d,2024-02-21,2024-07-16,2024-07-28,65010.0,68215.5,sideways,accelerating_up,normal,far_above,fresh_bullish_cross,neutral_high,mid_range,6,bullish,strong,up,4.93,False,90,confirmed,2,confirmed_bullish
BTCUSDT,1d,2023-12-29,2024-05-23,2024-06-04,67999.898,70580.0,bullish_strong,exhausted_down,normal,above,recent_bullish_cross,neutral_high,mid_range,6,bullish,strong,up,3.79,False,90,confirmed,1,confirmed_bullish
DOTUSDT,4h,2021-07-24 04:00:00,2021-08-17 12:00:00,2021-08-19 12:00:00,25.209999,25.785,bullish_strong,mixed,rising,far_above,ma7_above_stable,neutral_high,mid_range,5,bullish,strong,up,2.28,False,90,confirmed,23,confirmed_bullish
BNBUSDT,4h,2021-10-08 08:00:00,2021-11-01 16:00:00,2021-11-03 16:00:00,546.54999,561.04999,bullish,exhausted_up,normal,above,ma7_above_stable,neutral_high,breaking_resistance,5,bullish,strong,up,2.65,False,90,confirmed,22,confirmed_bullish
BNBUSDT,4h,2021-10-07 08:00:00,2021-10-31 16:00:00,2021-11-02 16:00:00,517.73999,562.46997,bullish_strong,mixed,normal,above,ma7_above_stable,neutral_high,mid_range,5,bullish,strong,up,8.64,False,90,confirmed,21,confirmed_bullish
DOTUSDT,4h,2021-07-12 04:00:00,2021-08-05 12:00:00,2021-08-07 12:00:00,18.921,20.708,bullish_strong,mixed,normal,above,recent_bullish_cross,neutral_high,mid_range,5,bullish,strong,up,9.44,False,90,confirmed,20,confirmed_bullish
LTCUSDT,4h,2023-03-22 08:00:00,2023-04-15 16:00:00,2023-04-17 16:00:00,96.290001,98.900002,bullish_strong,indecisive,falling,above,ma7_above_stable,neutral_high,mid_range,5,bullish,strong,up,2.71,False,90,confirmed,19,confirmed_bullish
BNBUSDT,4h,2021-09-19 08:00:00,2021-10-13 16:00:00,2021-10-15 16:00:00,460.25,474.04999,bullish_strong,mixed,climactic,far_above,recent_bullish_cross,neutral_high,mid_range,5,bullish,strong,up,3.0,False,90,confirmed,18,confirmed_bullish
BNBUSDT,4h,2022-01-12 08:00:00,2022-02-05 16:00:00,2022-02-07 16:00:00,411.88,435.54999,bullish_strong,mixed,rising,far_above,recent_bullish_cross,neutral_high,mid_range,5,bullish,strong,up,5.75,False,90,confirmed,17,confirmed_bullish
BNBUSDT,4h,2021-11-09 08:00:00,2021-12-03 16:00:00,2021-12-05 16:00:00,591.34003,553.46997,bearish_strong,mixed,normal,far_below,recent_bearish_cross,neutral_low,mid_range,-5,bearish,strong,down,-6.4,False,90,confirmed,16,confirmed_bearish
DOTUSDT,4h,2021-07-31 04:00:00,2021-08-24 12:00:00,2021-08-26 12:00:00,25.931999,24.096001,bearish_strong,mixed,normal,far_below,fresh_bearish_cross,neutral_low,mid_range,-6,bearish,strong,down,-7.08,False,90,confirmed,15,confirmed_bearish
DOGEUSDT,1d,2025-06-20,2025-11-13,2025-11-25,0.16373999,0.15295,bearish_strong,mixed,normal,far_below,ma7_below_stable,neutral_low,mid_range,-5,bearish,strong,down,-6.59,False,90,confirmed,7,confirmed_bearish
